Frequency,Pulse Generator: Magnitude,Pulse Generator: Phase
0.000,0.500,0.000
10.000,0.637,0.503
20.000,0.000,0.806
30.000,0.212,-1.634
40.000,0.000,-0.886
50.000,0.127,2.513
60.000,0.000,2.976
70.000,0.091,0.377
80.000,0.000,0.685
90.000,0.071,-1.759
100.000,0.000,-0.985
110.000,0.058,2.388
120.000,0.000,2.800
130.000,0.049,0.251
140.000,0.000,0.589
150.000,0.042,-1.885
160.000,0.000,-1.104
170.000,0.037,2.262
180.000,0.000,2.601
190.000,0.034,0.126
200.000,0.000,0.479
210.000,0.030,-2.011
220.000,0.000,-1.195
230.000,0.028,2.136
240.000,0.000,2.467
250.000,0.025,0.000
260.000,0.000,0.396
270.000,0.024,-2.136
280.000,0.000,-1.348
290.000,0.022,2.011
300.000,0.000,2.283
310.000,0.021,-0.126
320.000,0.000,0.288
330.000,0.019,-2.262
340.000,0.000,-1.452
350.000,0.018,1.885
360.000,0.000,2.111
370.000,0.017,-0.251
380.000,0.000,0.192
390.000,0.016,-2.388
400.000,0.000,-1.553
